FriendlyName,Operation,Description
Edited form,EditForm,"Form owner edits a form such as creating, removing, or editing a question. The property EditOperation:string indicates the edit operation name. The possible operations are:- CreateQuestion- CreateQuestionChoice - DeleteQuestion - DeleteQuestionChoice - DeleteFormImage - DeleteQuestionImage - UpdateQuestion - UpdateQuestionChoice - UploadFormImage/Bing/Onedrive - UploadQuestionImage - ChangeTheme FormImage includes any place within Forms that user can upload an image, such as in a query or as a background theme."
Moved form,MoveForm,Form owner moves a form. Property DestinationUserId:string indicates the user ID of the person who moved the form. Property NewFormId:string is the new ID for the newly copied form. Property IsDelegateAccess:boolean indicates the current form move action is performed through the admin delegate page.
Deleted form,DeleteForm,Form owner deletes a form. This includes SoftDelete (delete option used and form moved to recycle bin) and HardDelete (Recycle bin is emptied).
Viewed form (design time),ViewForm,Form owner opens an existing form for editing. Property AccessDenied:boolean indicates access of current form is denied due to permission check. Property FromSummaryLink:boolean indicates current request comes from the summary link page.
Previewed form,PreviewForm,Form owner previews a form using the Preview function.
Exported form,ExportForm,Form owner exports results to Excel. Property ExportFormat:string indicates if the Excel file is Download or Online.
Allowed share form for copy,AllowShareFormForCopy,Form owner creates a template link to share the form with other users. This event is logged when the form owner selects to generate template URL.
Disallowed share form for copy,DisallowShareFormForCopy,Form owner deletes template link.
Added form coauthor,AddFormCoauthor,A user uses a collaboration link to help design for/view responses. This event is logged when a user uses a collab URL (not when collab URL is first generated).
Removed form coauthor,RemoveFormCoauthor,Form owner deletes a collaboration link.
Viewed response page,ViewRuntimeForm,User has opened a response page to view. This event is logged regardless of whether the user submits a response or not.
Created response,CreateResponse,"Similar to receiving a new response. A user has submitted a response to a form. Property ResponseId:string and Property ResponderId:string indicates which result is being viewed. For an anonymous responder, the ResponderId property is null."
Updated response,UpdateResponse,"Form owner has updated a comment or score on a quiz. Property ResponseId:string and Property ResponderId:string indicates which result is being viewed. For an anonymous responder, the ResponderId property is null."
Deleted all responses,DeleteAllResponses,Form owner deletes all response data.
Deleted Response,DeleteResponse,Form owner deletes one response. Property ResponseId:string indicates the response being deleted.
Viewed responses,ViewResponses,Form owner views the aggregated list of responses. Property ViewType:string indicates whether form owner is viewing Detail or Aggregate
Viewed response,ViewResponse,"Form owner views a particular response. Property ResponseId:string and Property ResponderId:string indicates which result is being viewed. For an anonymous responder, the ResponderId property is null."
Created summary link,GetSummaryLink,Form owner creates summary results link to share results.
Deleted summary link,DeleteSummaryLink,Form owner deletes summary results link.Updated form phishing status
Updated user phishing status,UpdateUserPhishingStatus,"This event is logged whenever the value for the user security status was changed. The value of the user status in the audit record is Confirmed as Phisher when the user created a phishing form that was taken down by the Microsoft Online safety team. If an admin unblocks the user, the value of the user's status is set to Reset as Normal User."
Sent Forms Pro invitation,ProInvitation,User selects to activate a Pro trial.
Updated form setting,UpdateFormSetting,Form owner updates one or multiple form settings. Property FormSettingName:string indicates updated sensitive settings' name. Property NewFormSettings:string indicates updated settings' name and new value. Property thankYouMessageContainsLink:boolean indicates updated thank-you message contains a URL link.
Updated user setting,UpdateUserSetting,Form owner updates a user setting. Property UserSettingName:string indicates the setting's name and new value
Listed forms,ListForms,"Form owner is viewing a list of forms. Property ViewType:string indicates which view the form owner is looking at: All Forms, Shared with Me, or Group Forms"
Submitted response,SubmitResponse,A user submits a response to a form. Property IsInternalForm:boolean indicates if the responder is within the same organization as the form owner.
Enabled anyone can respond setting,AllowAnonymousResponse,Form owner turns on the setting allowing any one to respond to the form.
Disabled anyone can respond setting,DisallowAnonymousResponse,Form owner turns off the setting allowing any one to respond to the form.
Enabled specific people can respond setting,EnableSpecificResponse,Form owner turns on the setting allowing only specific people or specific groups in the current organization to respond to the form.
Disabled specific people can respond setting,DisableSpecificResponse,Form owner turns off the setting allowing only specific people or specific groups in the current organization to respond to the form.
Added specific responder,AddSpecificResponder,Form owner adds a new user or group to the specific responders list.
Removed specific responder,RemoveSpecificResponder,Form owner removes a user or group from the specific responders list.
Disabled collaboration,DisableCollaboration,Form owner turns off the setting of collaboration on the form.
Enabled Office 365 work or school account collaboration,EnableWorkOrSchoolCollaboration,Form owner turns on the setting allowing users with a Microsoft 365 work or school account to view and edit the form.
Enabled people in my organization collaboration,EnableSameOrgCollaboration,Form owner turns on the setting allowing users in the current organization to view and edit the form.
Enabled specific people collaboration,EnableSpecificCollaboaration,Form owner turns on the setting allowing only specific people or specific groups in the current organization to view and edit the form.
Connected to Excel workbook,ConnectToExcelWorkbook,Connected the form to an Excel workbook. Property ExcelWorkbookLink:string indicates the associated Excel workbook ID of the current form.
Created a collection,CollectionCreated,Form owner created a collection.
Updated a collection,CollectionUpdated,Form owner updated a collection property.
Deleted collection from the Recycle Bin,CollectionHardDeleted,Form owner hard-deleted a collection from the Recycle Bin.
Moved collection to the Recycle Bin,CollectionSoftDeleted,Form owner moved a collection to the Recycle Bin.
Renamed a collection,CollectionRenamed,Form owner changed the name of a collection.
Moved a form into collection,MovedFormIntoCollection,Form owner moved a form into a collection.
Moved a form out of collection,MovedFormOutofCollection,Form owner moved a form out of a collection.
Approved or denied an app,ConsentModificationRequest,A user performed a consent modification request.
Extraction ran,DataAccessRequestOperation,A user performed an extraction. Partner datasets and ISV runs are excluded.
Read a plan,PlanRead,"A plan is read by a user or an app. If the read operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ContainerType indicates ContainerType.Invalid and ContainerId indicates null."
Created a plan,PlanCreated,"A plan is created by a user or an app. If the create operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates null, ContainerType indicates ContainerType.Invalid and ContainerId indicates null."
Modified a plan,PlanModified,A plan is modified by a user or an app.
Deleted a plan,PlanDeleted,A plan is deleted by a user or an app.
Copied a plan,PlanCopied,"A plan is copied by a user or an app. If the copy operation is a ResultStatus.Failure or ResultStatus.Failure, newPlanId indicates null, newContainerType indicates ContainerType.Invalid, and newContainerId indicates null."
Read a task,TaskRead,"A task is read by a user or an app. If the read operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, PlanId indicates null."
Created a task,TaskCreated,"A task is created by a user or an app. If the create operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates null and PlanId indicates null."
Modified a task,TaskModified,A task is modified by a user or an app.
Deleted a task,TaskDeleted,A task is deleted by a user or an app.
Assigned a task,TaskAssigned,A task's assignee is modified by a user or an app. This can be an unassigned task getting assigned or an assigned task has a new assignee.
Completed a task,TaskCompleted,A task is marked completed by a user or an app.
Created a roster,RosterCreated,"A roster is created by a user or an app. If the create operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates null, MemberIds indicates an empty string."
Deleted a roster,RosterDeleted,A roster is deleted by a user or an app.
Added a member(s) to a roster,RosterMemberAdded,"A member(s) is added to a roster. If the add operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, MemberIds indicates the list of member IDs attempted."
Removed a member(s) to a roster,RosterMemberDeleted,"A member(s) is removed from a roster. If the remove operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, MemberIds indicates the list of member IDs attempted."
Read a list of plans,PlanListRead,"A list of plans is queried by a user or an app. If the query operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, PlanList indicates an empty string."
Read a list of tasks,TaskListRead,"A list of tasks is queried by a user or an app. If the query operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, TaskList indicates an empty string."
Updated tenant settings,TenantSettingsUpdated,"Tenant settings are updated by a tenant admin. If the update operation is a ResultStatus.Failure or ResultStatus.AuthorizationFailure, ObjectId indicates the original settings, and TenantSettings indicates the tenant settings attempted."
Updated a roster's sensitivity label,RosterSensitivityLabelUpdated,A user or an app updates a roster's sensitivity label.
Created project,ProjectCreated,A project is created by a user or app.
Created roadmap,RoadmapCreated,A roadmap or portfolio is created by a user or app.
Created roadmap item,RoadmapItemCreated,A roadmap or portfolio item is created by a user or app.
Created task,TaskCreated,A task is created by a user or app.
Deleted project,ProjectDeleted,A project is deleted by a user or app.
Deleted roadmap,RoadmapDeleted,A roadmap or portfolio is deleted by a user or app.
Deleted roadmap item,RoadmapItemDeleted,A roadmap or portfolio item is deleted by a user or app.
Deleted task,TaskDeleted,A task is deleted by a user or app.
Project accessed,ProjectAccessed,A project is read or app.
Project home accessed,ProjectListAccessed,A list of projects and/or roadmaps is queried by a user.
Roadmap accessed,RoadmapAccessed,A roadmap or portfolio is read by a user or app.
Roadmap item accessed,RoadmapItemAccessed,A roadmap or portfolio item is read by a user or app.
Task accessed,TaskAccessed,A task is read by a user or app.
Updated project settings,ProjectForTheWebProjectSettings,Project settings are updated by an admin.
Updated roadmap,RoadmapUpdated,A roadmap or portfolio is modified by a user or app.
Updated roadmap item,RoadmapItemUpdated,A roadmap or portfolio item is modified by a user or app.
Updated roadmap settings,ProjectForTheWebRoadmaptSettings,Roadmap or portfolio settings are updated by an admin.
Updated task,TaskUpdated,A task is modified by a user or app.
Updated project,ProjectUpdated,A project is modified by a user or app.
Audit search created,AuditSearchCreated,A new audit search request is submitted.
Audit search completed,AuditSearchCompleted,An audit search job is completed.
Audit search canceled,AuditSearchCancelled,An audit search job is canceled.
Audit search deleted,AuditSearchDeleted,An audit search job is deleted.
Audit search export job created,AuditSearchExportJobCreated,An export job is created to export the search results of an audit search query.
Audit search export job completed,AuditSearchExportJobCompleted,The export job to export the search results of an audit search query is completed.
Audit search export results downloaded,AuditSearchExportResultsDownloaded,The search results from an audit search query were downloaded.
Asset or entity created,EntityCreated,A new asset or entity is created or added to an existing asset.
Classification added,ClassificationAdded,Add classifications to asset entity.
Classification definition created,ClassificationDefinitionCreated,Create a classification type.
Classification definition deleted,ClassificationDefinitionDeleted,Delete a classification type.
Classification definition updated,ClassificationDefinitionUpdated,Update a classification type.
Classification deleted,ClassificationDeleted,Delete classifications from asset entity.
Classification updated,ClassificationUpdated,Update classifications on asset entity.
Entity deleted,EntityDeleted,An asset or entity is deleted from an existing asset.
Entity updated,EntityUpdated,"Includes: attribute update, business attribute update, collection info (only include collection ID), contacts update, customAttributes, hierarchy, homeId, labels, sourceDetails"
Glossary term assigned,GlossaryTermAssigned,Assign terms to asset entity.
Glossary term created,GlossaryTermCreated,Create a term.
Glossary term deleted,GlossaryTermDeleted,Delete a term.
Glossary term disassociated,GlossaryTermDisassociated,Disassociate terms from asset entity.
Glossary term updated,GlossaryTermUpdated,Update a term.
Sensitivity label changed,SensitivityLabelChanged,Sensitivity label is added/updated/deleted.
Added bot to team,BotAddedToTeam,A user adds a bot to a team.
Added channel,ChannelAdded,A user adds a channel to a team.
Added connector,ConnectorAdded,A user adds a connector to a channel.
Added details about Teams meeting 5,MeetingDetail,"Teams added information about a meeting, including the start time, the end time, and the URL to join the meeting."
Added information about meeting participants 5,MeetingParticipantDetail,"Teams added information about the participants of a meeting, including the user ID of each participant, the time a participant joined the meeting, and the time a participant left the meeting."
"Added members 6, 8",MemberAdded,"A team owner adds members to a team, channel, or group chat."
Added tab,TabAdded,A user adds a tab to a channel.
Applied sensitivity label,SensitivityLabelApplied,A user or meeting organizer applied a sensitivity label to a Teams meeting.
Changed channel setting,ChannelSettingChanged,"The ChannelSettingChanged operation is logged when the following activities are performed by a team member. For each of these activities, a description of the setting that was changed (shown in parentheses) is displayed in the Item column in the audit log search results. Changes name of a team channel (Channel name)Changes description of a team channel (Channel description) "
Changed organization setting,TeamsTenantSettingChanged,"The TeamsTenantSettingChanged operation is logged when the following activities are performed by a global admin in the Microsoft 365 admin center. These activities affect org-wide Teams settings. To learn more, see Manage Teams settings for your organization. For each of these activities, a description of the setting that was changed (shown in parentheses) is displayed in the Item column in the audit log search results.Enables or disables Teams for the organization (Microsoft Teams).Enables or disables interoperability between Microsoft Teams and Skype for Business for the organization (Skype for Business interoperability).Enables or disables the organizational chart view in Microsoft Teams clients (Org chart view).Enables or disables the ability for team members to schedule private meetings (Private meeting scheduling).Enables or disables the ability for team members to schedule channel meetings (Channel meeting scheduling).Enables or disables video calling in Teams meetings (Video for Skype meetings).Enables or disables screen sharing in Microsoft Teams meetups for the organization (Screen sharing for Skype meetings).Enables or disables that ability to add animated images (called Giphys) to Teams conversations (Animated images).Changes the content rating setting for the organization (Content rating). The content rating restricts the type of animated image that can be displayed in conversations.Enables or disables the ability for team members to add customizable images (called custom memes) from the internet to team conversations (Customizable images from the Internet).Enables or disables the ability for team members to add editable images (called stickers) to team conversations (Editable images).Enables or disables that ability for team members to use bots in Microsoft Teams chats and channels (Org-wide bots).Enables specific bots for Microsoft Teams. This doesn't include the T-Bot, which is Teams help bot that's available when bots are enabled for the organization (Individual bots).Enables or disables the ability for team members to add extensions or tabs (Extensions or tabs).Enables or disables the side-loading of proprietary bots for Microsoft Teams (Side loading of Bots).Enables or disables the ability for users to send email messages to a Microsoft Teams channel (Channel email)."
Changed role of members in team,MemberRoleChanged,A team owner changes the role of members in a team. The following values indicate the role type assigned to the user. 1 - Indicates the Member role.2 - Indicates the Owner role.3 - Indicates the Guest role.The Members property also includes the name of your organization and the member's email address.
Changed team setting,TeamSettingChanged,"The TeamSettingChanged operation is logged when the following activities are performed by a team owner. For each of these activities, a description of the setting that was changed (shown in parentheses) is displayed in the Item column in the audit log search results.Changes the access type for a team. Teams can be set as private or public (Team access type). When a team is private (the default setting), users can access the team only by invitation. When a team is public, it's discoverable by anyone.Changes the information classification of a team (Team classification). For example, team data can be classified as high business impact, medium business impact, or low business impact.Changes the name of a team (Team name).Changes the team description (Team description).Changes made to team settings. To access these settings, a team owner can right-click a team, select Manage team, and then select the Settings tab. For these activities, the name of the setting that was changed is displayed in the Item column in the audit log search results."
Changed sensitivity label,SensitivityLabelChanged,A user changed a sensitivity label on a Teams meeting.
Created a chat 1,ChatCreated,A Teams chat was created.
Created team,TeamCreated,A user creates a team.
Deleted a message 2,MessageDeleted,A message in a chat or channel was deleted.
Deleted all organization apps,DeletedAllOrganizationApps,Deleted all organization apps from the catalog.
Deleted app,AppDeletedFromCatalog,An app has been deleted from the catalog.
Deleted channel,ChannelDeleted,A user deletes a channel from a team.
Deleted team,TeamDeleted,A team owner deletes a team.
Edited a message with a URL link in Teams,MessageEditedHasLink,A user edits a message and adds a URL link to it in Teams.
"Exported messages 1, 2",MessagesExported,Chat or channel messages were exported.
Exported recordings 1,RecordingExported,Chat recordings were exported.
Exported transcripts 1,TranscriptsExported,Chat transcripts were exported.
Failed to validate invitation to shared channel 3,FailedValidation,A user responds to an invitation to a shared channel but the invitation failed validation.
Fetched chat 1,ChatRetrieved,A Microsoft Teams chat was retrieved.
Fetched all hosted content of a message1,MessageHostedContentsListed,"All hosted content in  a message, such as images or code snippets, was retrieved."
Installed app,AppInstalled,An app was installed.
Performed action on card,PerformedCardAction,"A user took action on an adaptive card within a chat. Adaptive cards are typically used by bots to allow the rich display of information and interaction in chats. Note: Only inline input actions on an adaptive card inside a chat will be available in the audit log. For example, when a user submits a poll response in a channel conversation on an adaptive card generated by a Poll bot. User actions such as ""View result"", which will open a dialog, or user actions inside dialogs won't be available in the audit log."
"Posted a new message 1, 6, 8",MessageSent,A new message was posted to a chat or channel.
Published app,AppPublishedToCatalog,An app was added to the catalog.
Read a message 1,MessageRead,A message of a chat or channel was retrieved.
Read hosted content of a message 1,MessageHostedContentRead,"Hosted content in a message, such as an image or a code snippet, was retrieved."
Removed bot from team,BotRemovedFromTeam,A user removes a bot from a team.
Removed connector,ConnectorRemoved,A user removes a connector from a channel.
Removed members 8,MemberRemoved,"A team owner removes members from a team, channel, or group chat."
Removed sensitivity label,SensitivityLabelRemoved,A user removed a sensitivity label from a Teams meeting.
Removed sharing of team channel 3,TerminatedSharing,A team or channel owner disabled sharing for a shared channel.
Restored sharing of team channel 3,SharingRestored,A team or channel owner re-enabled sharing for a shared channel.
Removed tab,TabRemoved,A user removes a tab from a channel.
Responded to invitation for shared channel 3,InviteeResponded,A user responded to a shared channel invitation.
Responded to invitee response to shared channel 3,ChannelOwnerResponded,A channel owner responded to a response from a user who responded to a shared channel invitation.
Retrieved messages 1,MessagesListed,Messages from a chat or channel were retrieved.
Sent a message with a URL link in Teams,MessageCreatedHasLink,A user sends a message containing a URL link in Teams.
Sent change notification for message creation 1,MessageCreatedNotification,A change notification was sent to notify a subscribed listener application of a new message.
Sent change notification for message deletion 1,MessageDeletedNotification,A change notification was sent to notify a subscribed listener application of a deleted message.
Sent change notification for message update 1,MessageUpdatedNotification,A change notification was sent to notify a subscribed listener application of an updated message.
Sent invitation for shared channel 3,InviteSent,A channel owner or member sends an invitation to a shared channel. Invitations to shared channels can be sent to people outside of your organization if the channel policy is configured to share the channel with external users.
Subscribed to message change notifications 1,SubscribedToMessages,A subscription was created by a listener application to receive change notifications for messages.
Uninstalled app,AppUninstalled,An app was uninstalled.
Updated app,AppUpdatedInCatalog,An app was updated in the catalog.
Updated a chat 1,ChatUpdated,A Teams chat was updated.
Updated a message 1,MessageUpdated,A message of a chat or channel was updated.
Updated connector,ConnectorUpdated,A user modified a connector in a channel.
Updated tab,TabUpdated,A user modified a tab in a channel.
Upgraded app,AppUpgraded,An app was upgraded to its latest version in the catalog.
User signed in to Teams,TeamsSessionStarted,A user signs in to a Microsoft Teams client. This event doesn't capture token refresh activities.
"Posted New Message 3, 4, 6, 8",MessageSent,A new message was posted to a chat or a channel.
Added scheduling group,ScheduleGroupAdded,A user successfully adds a new scheduling group to the schedule.
Edited scheduling group,ScheduleGroupEdited,A user successfully edits a scheduling group.
Deleted scheduling group,ScheduleGroupDeleted,A user successfully deletes a scheduling group from the schedule.
Withdrew schedule,ScheduleWithdrawn,A user successfully withdraws a published schedule.Added shift
Edited shift,ShiftEdited,A user successfully edits a shift.
Deleted shift,ShiftDeleted,A user successfully deletes a shift.
Added time off,TimeOffAdded,A user successfully adds time off on the schedule.
Edited time off,TimeOffEdited,A user successfully edits time off.
Deleted time off,TimeOffDeleted,A user successfully deletes time off.
Added open shift,OpenShiftAdded,A user successfully adds an open shift to a scheduling group.
Edited open shift,OpenShiftEdited,A user successfully edits an open shift in a scheduling group.
Deleted open shift,OpenShiftDeleted,A user successfully deletes an open shift from a scheduling group.
Shared schedule,ScheduleShared,A user successfully shared a team schedule for a date range.
Clocked in using Time clock,ClockedIn,A user successfully clocks in using Time clock.
Clocked out using Time clock,ClockedOut,A user successfully clocks out using Time clock.
Started break using Time clock,BreakStarted,A user successfully starts a break during an active Time clock session.
Ended break using Time clock,BreakEnded,A user successfully ends a break during an active Time clock session.
Added Time clock entry,TimeClockEntryAdded,A user successfully adds a new manual Time clock entry on Time Sheet.
Edited Time clock entry,TimeClockEntryEdited,A user successfully edits a Time clock entry on Time Sheet.
Deleted Time clock entry,TimeClockEntryDeleted,A user successfully deletes a Time clock entry on Time Sheet.
Added shift request,RequestAdded,A user added a shift request.
Responded to shift request,RequestRespondedTo,A user responded to a shift request.
Canceled shift request,RequestCancelled,A user canceled a shift request.
Changed schedule setting,ScheduleSettingChanged,A user changes a setting in Shifts settings.
Added workforce integration,WorkforceIntegrationAdded,The Shifts app is integrated with a third-party system.
Accepted off shift message,OffShiftDialogAccepted,A user acknowledges the off-shift message to access Teams after shift hours.
Create an update request,CreateUpdateRequest,A user successfully creates an update request.
Edit an update request,EditUpdateRequest,"A user opens the request editing wizard and selects Save to confirm and save any changes, or enables or disables the update request directly."
Submit an update,SubmitUpdate,A user successfully submits an update.
View the details of one update,ViewUpdate,A user views the details of the update.
Accepted sharing link on folder,AcceptedSharingLinkOnFolder,Accepted sharing link for a folder.
Attachment created,AttachmentCreated,An attachment was created for a task.
Attachment updated,AttachmentUpdated,An attachment was updated.
Attachment deleted,AttachmentDeleted,An attachment was deleted.
Folder sharing link shared,FolderSharingLinkShared,Created a sharing link for a folder.
Linked entity deleted,LinkedEntityDeleted,A linked entity was deleted.
Linked entity updated,LinkedEntityUpdated,A linked entity was updated.
Linked entity created,LinkedEntityCreated,A linked entity of task was created.
SubTask created,SubTaskCreated,A subtask was created.
SubTask deleted,SubTaskDeleted,A subtask was deleted.
SubTask updated,SubTaskUpdated,A subtask was updated.
Task created,TaskCreated,A task was created.
Task deleted,TaskDeleted,A task was deleted.
Task read,TaskRead,A task was read.
Task updated,TaskUpdated,A task was updated.
TaskList created,TaskListCreated,A task list was created.
TaskList read,TaskListRead,A task list was read.
TaskList updated,TaskListUpdated,A task list was updated.
User invited,UserInvited,Invited user to a folder.
Accessed OData link,AccessedOdataLink,Analyst accessed the OData link for a query.
Added delegate access,AddDelegates,A user added delegate access for organization insights or Copilot dashboard.
Canceled query,CanceledQuery,Analyst canceled a running query.
Created meeting exclusion,MeetingExclusionCreated,Analyst created a meeting exclusion rule.
Deleted result,DeletedResult,Analyst deleted a query result.
Downloaded report,DownloadedReport,Analyst downloaded a query result file.
Executed query,ExecutedQuery,Analyst ran a query.
Removed delegate access,RemoveDelegates,A user removed delegate access for organization insights or Copilot dashboard.
Updated data access setting,UpdatedDataAccessSetting,Admin updated data access settings.
Updated privacy setting,UpdatedPrivacySetting,"Admin updated privacy settings; for example, minimum group size."
Uploaded organization data,UploadedOrgData,Admin uploaded organizational data file.
User logged in*,UserLoggedIn,A user signed in to their Microsoft 365 user account.
User logged off*,UserLoggedOff,A user signed out of their Microsoft 365 user account.
Viewed Explore,ViewedExplore,Analyst viewed visualizations in one or more Explore page tabs.
Updated organization MyAnalytics settings,UpdatedOrganizationMyAnalyticsSettings,Admin updates organization-level settings for personal insights.
Updated user MyAnalytics settings,UpdatedUserMyAnalyticsSettings,Admin updates user settings for personal insights.
Deleted quarantine message,QuarantineDeleteMessage,An admin or user deleted an email message that was deemed to be harmful.
Denied quarantine message release request,QuarantineReleaseRequestDeny,An admin denial for a release request from a user for an email message that was deemed to be harmful.
Exported quarantine message,QuarantineExport,An admin or user exported an email message that was deemed to be harmful.
Previewed quarantine message,QuarantinePreview,An admin or user previewed an email message that was deemed to be harmful.
Released quarantine message,QuarantineRelease,An admin or user released an email message from quarantine that was deemed to be harmful.
Release request quarantine message,QuarantineReleaseRequest,A user requested the release of an email message that was deemed to be harmful.
Viewed quarantine message's header,QuarantineViewHeader,An admin or user viewed the header an email message that was deemed to be harmful.
Updated usage report privacy settings,UpdateUsageReportsPrivacySetting,Admin updated privacy settings for usage reports.
Changed adaptive scope membership,ApplicableAdaptiveScopeChange,"Users, sites, or groups were added to or removed from the adaptive scope. These changes are the results of running the scope's query. Because the changes are system-initiated, the reported user displays as a GUID rather than a user account."
Configured settings for a retention policy,NewRetentionComplianceRule,"Administrator configured the retention settings for a new retention policy. Retention settings include how long items are retained, and what happens to items when the retention period expires (such as deleting items, retaining items, or retaining and then deleting them). This activity also corresponds to running the New-RetentionComplianceRule cmdlet."
Created adaptive scope,NewAdaptiveScope,Administrator created an adaptive scope.
Created retention label,NewComplianceTag,Administrator created a new retention label.
Created retention policy,NewRetentionCompliancePolicy,Administrator created a new retention policy.
Deleted adaptive scope,RemoveAdaptiveScope,Administrator deleted an adaptive scope.
Deleted settings from a retention policy,RemoveRetentionComplianceRule,"Administrator deleted the configuration settings of a retention policy. Most likely, this activity is logged when an administrator deletes a retention policy or runs the Remove-RetentionComplianceRule cmdlet."
Deleted retention label,RemoveComplianceTag,Administrator deleted a retention label.
Deleted retention policy,RemoveRetentionCompliancePolicy,Administrator deleted a retention policy.
Enabled regulatory record option for retention labels,SetRestrictiveRetentionUI,Administrator ran the Set-RegulatoryComplianceUI cmdlet so that an administrator can then select the UI configuration option for a retention label to mark content as a regulatory record.
Retained email item proactively,ExchangeDataProactivelyPreserved,Adaptive protection automatically applied a retention label to retain an item in Exchange.
Retained file proactively,SharePointDataProactivelyPreserved,Adaptive protection automatically applied a retention label to retain an item in SharePoint or OneDrive.
Updated adaptive scope,SetAdaptiveScope,Administrator changed the description or query for an existing adaptive scope.
Updated settings for a retention policy,SetRetentionComplianceRule,"Administrator changed the retention settings for an existing retention policy. Retention settings include how long items are retained, and what happens to items when the retention period expires (such as deleting items, retaining items, or retaining and then deleting them). This activity also corresponds to running the Set-RetentionComplianceRule cmdlet."
Updated retention label,SetComplianceTag,Administrator updated an existing retention label.
Updated retention policy,SetRetentionCompliancePolicy,Administrator updated an existing a retention policy. Updates that trigger this event include adding or excluding content locations that the retention policy is applied to.
Add member to Role,Add member to role.,Added a user to an admin role in Microsoft 365.
Removed a user from a directory role,Remove member from role.,Removed a user to from an admin role in Microsoft 365.
Set company contact information,Set company contact information.,"Updated the company-level contact preferences for your organization. This includes email addresses for subscription-related email sent by Microsoft 365, and technical notifications about services."
Created new sensitive information type,CreateRulePackage /  EditRulePackage*,A new sensitive information type was created. This includes any SITs created by copying an out of the box SIT. Note: This activity surfaces under the audit activities 'Created rule package' or 'Edited rule package'.
Edited a sensitive information type,EditRulePackage,"An existing sensitive information type was edited. This can include operations like adding/removing a pattern and editing the regex/keyword associated with the sensitive information type. Note: This activity surfaces under the audit activity ""Edited rule package."""
Deleted a sensitive information type,EditRulePackage / RemoveRulePackage,"An existing sensitive information type was deleted. Note: This activity surfaces under the audit activity ""Edited rule package"" or ""Removed rule package."""
Applied sensitivity label to site,SiteSensitivityLabelApplied,A sensitivity label was applied to a SharePoint site or Teams site that isn't group-connected.
Removed sensitivity label from site,SiteSensitivityLabelRemoved,A sensitivity label was removed from a SharePoint site or Teams site that isn't group-connected.
Applied sensitivity label to file,FileSensitivityLabelApplied  SensitivityLabelApplied,"A sensitivity label was applied to an item by using Microsoft 365 apps, Office for the web, or an auto-labeling policy. The operations for this activity are different depending on how the label was applied: - Office for the web or an auto-labeling policy (FileSensitivityLabelApplied)  - Microsoft 365 apps (SensitivityLabelApplied)"
Changed sensitivity label applied to file,FileSensitivityLabelChangedSensitivityLabelUpdated,A different sensitivity label was applied to an item. The operations for this activity are different depending on how the label was changed: - Office for the web or an auto-labeling policy (FileSensitivityLabelChanged)  - Microsoft 365 apps (SensitivityLabelUpdated)
Changed sensitivity label on a site,SiteSensitivityLabelChanged,A different sensitivity label was applied to a SharePoint site or Teams site that isn't group-connected.
Removed sensitivity label from file,FileSensitivityLabelRemoved  SensitivityLabelRemoved,"A sensitivity label was removed from an item by using Microsoft 365 apps, Office for the web, an auto-labeling policy, or the Unlock-SPOSensitivityLabelEncryptedFile cmdlet. The operations for this activity are different depending on how the label was removed: - Office for the web or an auto-labeling policy (FileSensitivityLabelRemoved)  - Microsoft 365 apps (SensitivityLabelRemoved)"
Created list,ListCreated,A user created a SharePoint list.
Created list column,ListColumnCreated,A user created a SharePoint list column. A list column is a column that's attached to one or more SharePoint lists.
Created list content type,ListContentTypeCreated,A user created a list content type. A list content type is a content type that's attached to one or more SharePoint lists.
Created list item,ListItemCreated,A user created an item in an existing SharePoint list.
Created site column,SiteColumnCreated,A user created a SharePoint site column. A site column is a column that isn't attached to a list. A site column is also a metadata structure that can be used by any list in a given web.
Created site content type,Site ContentType Created,A user created a site content type. A site content type is a content type that's attached to the parent site.
Deleted list,ListDeleted,A user deleted a SharePoint list.
Deleted list column,List Column Deleted,A user deleted a SharePoint list column.
Deleted list content type,ListContentTypeDeleted,A user deleted a list content type.
Deleted list item,List Item Deleted,A user deleted a SharePoint list item.
Deleted site column,SiteColumnDeleted,A user deleted a SharePoint site column.
Deleted site content type,SiteContentTypeDeleted,A user deleted a site content type.
Recycled list item,ListItemRecycled,A user moved a SharePoint list item to the Recycle Bin.
Restored list,ListRestored,A user restored a SharePoint list from the Recycle Bin.
Restored list item,ListItemRestored,A user restored a SharePoint list item from the Recycle Bin.
Updated list,ListUpdated,A user updated a SharePoint list by modifying one or more properties.
Updated list column,ListColumnUpdated,A user updated a SharePoint list column by modifying one or more properties.
Updated list content type,ListContentTypeUpdated,A user updated a list content type by modifying one or more properties.
Updated list item,ListItemUpdated,A user updated a SharePoint list item by modifying one or more properties.
